tree,detn,C_ns_2026_07_16,C_ns_2026_07_11,per_bunch_sigma_ns
WALA,1,-1723.17,-1721.12,3.53
WALA,2,-1713.24,-1710.89,3.57
WALA,3,-1721.79,-1720.13,2.85
WALA,4,-1715.91,-1713.59,3.15
WALA,5,-1726.53,-1724.2,2.72
WALA,6,-1715.4,-1712.28,2.97
WALA,7,-1725.49,-1721.75,3.08
WALA,8,-1714.16,-1709.51,3.42
WALB,1,-1718.34,-1716.72,3.65
WALB,2,-1718.09,-1716.26,3.62
WALB,3,-1725.49,-1725.44,2.87
WALB,4,-1715.12,-1714.53,2.95
WALB,5,-1721.23,-1721.53,2.6
WALB,6,-1721.89,-1721.69,2.75
WALB,7,-1719.47,-1719.48,2.96
WALB,8,-1717.86,-1717.36,3.11
WALC,1,-1720.08,-1713.16,4.02
WALC,2,-1717.52,-1710.63,4.05
WALC,3,-1717.15,-1711.57,3.4
WALC,4,-1720.27,-1714.92,3.36
WALC,5,-1717.56,-1713.04,3.41
WALC,6,-1720.44,-1715.96,3.37
WALC,7,-1720.72,-1716.71,3.64
WALC,8,-1720.12,-1716.32,3.58
WALD,1,-1716.35,-1710.07,3.57
WALD,2,-1718.2,-1712.03,3.49
WALD,3,-1721.05,-1714.79,3.1
WALD,4,-1723.5,-1717.49,2.99
WALD,5,-1718.08,-1711.5,3.06
WALD,6,-1723.95,-1717.85,3.03
WALD,7,-1713.82,-1705.03,3.87
WALD,8,-1717.15,-1708.49,4.03
