# Common threshold scan, POST-EQUALIZATION amplitude scale (equalized voltages of pss/hv_equalization_run224489.json).
# eff = wall-tagged (sideband-subtracted) fraction above threshold; rate = summed late hits/bunch, 8 PMTs (relative).
thr_mV,PSSA1,PSSA2,PSSB1,PSSB2,PSSC1,PSSC2,PSSD1,PSSD2,min_eff,late_hits_per_bunch
1.50,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.56,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.62,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.69,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.76,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.83,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.90,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
1.97,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100029
2.05,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,99969
2.14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,99840
2.22,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,99693
2.31,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,99532
2.40,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,99285
2.50,0.9996,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9996,98874
2.60,0.9996,0.9999,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9996,98291
2.70,0.9996,0.9999,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9996,97602
2.81,0.9996,0.9998,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9996,96832
2.93,0.9995,0.9997,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9995,95991
3.04,0.9995,0.9997,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9995,95023
3.17,0.9994,0.9997,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,0.9994,93860
3.29,0.9989,0.9997,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.9989,92592
3.42,0.9987,0.9997,1.0000,0.9991,1.0000,0.9999,1.0000,1.0000,0.9987,91220
3.56,0.9985,0.9997,1.0000,0.9991,1.0000,0.9999,1.0000,1.0000,0.9985,89744
3.70,0.9981,0.9997,1.0000,0.9991,1.0000,0.9998,1.0000,1.0000,0.9981,88190
3.85,0.9975,0.9997,1.0000,0.9985,1.0000,0.9996,1.0000,1.0000,0.9975,86559
4.01,0.9975,0.9996,1.0000,0.9985,1.0000,0.9996,1.0000,1.0000,0.9975,84850
4.17,0.9975,0.9991,1.0000,0.9984,0.9999,0.9996,1.0000,1.0000,0.9975,83084
4.33,0.9971,0.9988,0.9998,0.9984,0.9999,0.9995,0.9982,1.0000,0.9971,80797
4.51,0.9966,0.9987,0.9996,0.9975,0.9997,0.9994,0.9957,1.0000,0.9957,78131
