wall,thr_mV,eff_g1,eff_g2,eff_g3,eff_g4,min_eff,pur_g1,pur_g2,pur_g3,pur_g4,pairs_per_bunch,pairs_per_bunch_dup_unfixed
A,0.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.7,2967.2
A,1.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.7,2967.2
A,2.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.7,2967.2
A,3.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.7,2967.2
A,4.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.7,2967.2
A,5.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.926,0.923,0.919,2538.4,2966.9
A,6.5,1.0000,1.0000,1.0000,1.0000,1.0000,0.918,0.927,0.924,0.920,2537.5,2966.0
A,7.5,0.9999,0.9999,0.9999,0.9999,0.9999,0.918,0.927,0.924,0.920,2536.1,2964.6
A,8.5,0.9991,0.9997,0.9994,0.9992,0.9991,0.919,0.927,0.925,0.921,2533.3,2961.8
A,9.5,0.9955,0.9990,0.9979,0.9972,0.9955,0.919,0.928,0.925,0.922,2526.2,2954.4
A,10.5,0.9876,0.9978,0.9941,0.9932,0.9876,0.920,0.928,0.927,0.925,2511.6,2939.0
A,11.5,0.9742,0.9959,0.9876,0.9864,0.9742,0.921,0.929,0.929,0.930,2487.2,2913.1
A,12.5,0.9584,0.9931,0.9789,0.9778,0.9584,0.924,0.932,0.933,0.936,2454.2,2877.6
A,13.5,0.9417,0.9886,0.9689,0.9677,0.9417,0.928,0.935,0.938,0.943,2415.6,2835.5
A,14.5,0.9263,0.9825,0.9587,0.9573,0.9263,0.934,0.939,0.944,0.950,2374.6,2790.1
A,15.5,0.9126,0.9756,0.9489,0.9471,0.9126,0.940,0.944,0.950,0.957,2333.2,2743.6
